FIFA football World Cup games 1930-2018,total funded,winning team prize money
2018 Russia,"791,000,000","38,000,000"
2014 Brazil,"576,000,000","35,000,000"
2010 South Africa,"420,000,000","30,000,000"
2006 Germany,"266,000,000","20,000,000"
2002 Japan / South Korea,"156,500,000","8,000,000"
1998 France,"103,000,000","6,000,000"
1994 USA,"71,000,000","4,000,000"
1990 Italy,"54,000,000","3,500,000"
1986 Mexico,"26,000,000","2,800,000"
1982 Spain,"20,000,000","2,200,000"
1978 Argentina,"18,000,000","1,800,000"
1974 Germany,"17,000,000","1,500,000"
1970 Mexico,"15,000,000","1,450,000"
1966 England,"13,000,000","1,200,000"
1962 Chile,"11,000,000","1,000,000"
1958 Sweden,"10,000,000","900,000"
1954 Switzerland,"8,000,000","750,000"
1950 Brazil,"5,000,000","500,000"
1938 France,"4,000,000","450,000"
1934 Italy,"2,000,000","300,000"
1930 Uruguay,"1,000,000","100,000"
